source_pdf,miti_dimension,score,error,condition
session2miti.pdf,Partnership,2,0,rerun5
have-you-ever-been-a-smoker-coded-transcript.pdf,Empathy,4,0,rerun5
hawaii-every-month-coded-transcript.pdf,Empathy,2,0,rerun5
hawaii-every-month-coded-transcript.pdf,Partnership,2,0,rerun5
maybe-hell-take-my-kids-coded-transcript.pdf,Softening Sustain Talk,4,0,rerun5
session2miti.pdf,Empathy,2,0,rerun5
overuse-of-directing-coded-transcript.pdf,Cultivating Change Talk,2,0,rerun5
session3miti.pdf,Partnership,2,0,rerun5
overuse-of-directing-coded-transcript.pdf,Partnership,2,0,rerun5
session3miti.pdf,Cultivating Change Talk,4,0,rerun5
session3miti.pdf,Softening Sustain Talk,2,0,rerun5
overuse-of-directing-coded-transcript.pdf,Softening Sustain Talk,2,0,rerun5
now-i-only-wear-yoga-pants-coded-transcript.pdf,Partnership,4,0,rerun5
emmys-first-encounter-coded-transcript.pdf,Softening Sustain Talk,4,0,rerun5
hawaii-every-month-coded-transcript.pdf,Cultivating Change Talk,2,0,rerun5
now-i-only-wear-yoga-pants-coded-transcript.pdf,Empathy,3,0,rerun5
should-i-really-be-honest-coded-transcript.pdf,Softening Sustain Talk,3,0,rerun5
should-i-really-be-honest-coded-transcript.pdf,Empathy,4,0,rerun5
session3miti.pdf,Empathy,2,0,rerun5
should-i-really-be-honest-coded-transcript.pdf,Partnership,4,0,rerun5
overuse-of-directing-coded-transcript.pdf,Empathy,2,0,rerun5
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Cultivating Change Talk,2,0,rerun5
hawaii-every-month-coded-transcript.pdf,Softening Sustain Talk,4,0,rerun5
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Partnership,2,0,rerun5
session4miti.pdf,Cultivating Change Talk,4,0,rerun5
rounder-miti-4-coded-transcript.pdf,Cultivating Change Talk,2,0,rerun5
session4miti.pdf,Empathy,3,0,rerun5
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Empathy,2,0,rerun5
rounder-miti-4-coded-transcript.pdf,Softening Sustain Talk,2,0,rerun5
session4miti.pdf,Partnership,2,0,rerun5
session2miti.pdf,Softening Sustain Talk,3,0,rerun5
rounder-miti-4-coded-transcript.pdf,Empathy,2,0,rerun5
maybe-hell-take-my-kids-coded-transcript.pdf,Partnership,2,0,rerun5
emmys-first-encounter-coded-transcript.pdf,Cultivating Change Talk,4,0,rerun5
session5miti.pdf,Cultivating Change Talk,2,0,rerun5
session4miti.pdf,Softening Sustain Talk,4,0,rerun5
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Softening Sustain Talk,4,0,rerun5
rounder-miti-4-coded-transcript.pdf,Partnership,3,0,rerun5
session1miti.pdf,Cultivating Change Talk,3,0,rerun5
maybe-hell-take-my-kids-coded-transcript.pdf,Empathy,3,0,rerun5
emmys-first-encounter-coded-transcript.pdf,Partnership,4,0,rerun5
session1miti.pdf,Softening Sustain Talk,3,0,rerun5
session5miti.pdf,Partnership,2,0,rerun5
maybe-hell-take-my-kids-coded-transcript.pdf,Cultivating Change Talk,2,0,rerun5
session1miti.pdf,Empathy,3,0,rerun5
session5miti.pdf,Softening Sustain Talk,4,0,rerun5
now-i-only-wear-yoga-pants-coded-transcript.pdf,Softening Sustain Talk,4,0,rerun5
emmys-first-encounter-coded-transcript.pdf,Empathy,4,0,rerun5
session5miti.pdf,Empathy,2,0,rerun5
have-you-ever-been-a-smoker-coded-transcript.pdf,Cultivating Change Talk,3,0,rerun5
have-you-ever-been-a-smoker-coded-transcript.pdf,Softening Sustain Talk,3,0,rerun5
session1miti.pdf,Partnership,3,0,rerun5
session2miti.pdf,Cultivating Change Talk,2,0,rerun5
have-you-ever-been-a-smoker-coded-transcript.pdf,Partnership,4,0,rerun5
should-i-really-be-honest-coded-transcript.pdf,Cultivating Change Talk,3,0,rerun5
now-i-only-wear-yoga-pants-coded-transcript.pdf,Cultivating Change Talk,4,0,rerun5
